outcome,timestamp,time_elapsed,student_id,module_id,module_type,history_correct,history_wrong,exponential,wrong_streak,right_streak,average_outcome,average_time
True,1170300575,125,1,6,assessment,8,2,3.52891136,1,7,0.8,245.444444444,-0.63
True,1170300694,119,1,6,assessment,9,2,3.823129088,1,7,0.818181818182,233.4,-0.63
True,1170300788,94,1,6,assessment,10,2,4.0585032704,1,7,0.833333333333,223.0,-0.63
True,1172797693,2496905,1,6,assessment,11,2,4.24680261632,1,7,0.846153846154,212.25,-0.63
True,1170298359,112,1,7,assessment,1,0,1.0,0,1,1.0,0,-0.63
True,1170300572,2213,1,7,assessment,2,0,1.8,0,2,1.0,112.0,-0.63
True,1172797853,2497281,1,7,assessment,3,0,2.44,0,3,1.0,1162.5,-0.63
True,1170298366,114,1,8,assessment,1,0,1.0,0,1,1.0,0,-0.63
True,1170300593,2227,1,8,assessment,2,0,1.8,0,2,1.0,114.0,-0.63
True,1172797860,2497267,1,8,assessment,3,0,2.44,0,3,1.0,1170.5,-0.63
True,1170299778,1515,1,9,assessment,1,0,1.0,0,1,1.0,0,-0.63
True,1170298288,19,1,10,assessment,0,1,0.0,1,0,0.0,0,-0.63
True,1170298882,594,1,10,assessment,1,1,1.0,1,1,0.5,19.0,-0.63
False,1170298962,80,1,10,assessment,2,1,1.8,1,2,0.666666666667,306.5,-0.63
True,1170298982,20,1,10,assessment,2,2,1.44,1,2,0.5,231.0,-0.63
True,1170299041,59,1,10,assessment,3,2,2.152,1,2,0.6,178.25,-0.63
True,1170300211,1170,1,10,assessment,4,2,2.7216,1,2,0.666666666667,154.4,-0.63
True,1170300413,202,1,10,assessment,5,2,3.17728,1,3,0.714285714286,323.666666667,-0.63
True,1170300633,220,1,10,assessment,6,2,3.541824,1,4,0.75,306.285714286,-0.63
True,1170300924,291,1,10,assessment,7,2,3.8334592,1,5,0.777777777778,295.5,-0.63
False,1172797688,2496764,1,10,assessment,8,2,4.06676736,1,6,0.8,295.0,-0.63
True,1170298422,144,1,11,assessment,1,0,1.0,0,1,1.0,0,-0.63
True,1170298979,557,1,11,assessment,2,0,1.8,0,2,1.0,144.0,-0.63
True,1170300023,1044,1,11,assessment,3,0,2.44,0,3,1.0,350.5,-0.63
True,1170300242,219,1,11,assessment,4,0,2.952,0,4,1.0,581.666666667,-0.63
True,1170300458,216,1,11,assessment,5,0,3.3616,0,5,1.0,491.0,-0.63
True,1170300703,245,1,11,assessment,6,0,3.68928,0,6,1.0,436.0,-0.63
True,1172797824,2499542,1,12,assessment,1,0,1.0,0,1,1.0,0,-0.63
True,1170299781,1489,1,13,assessment,1,0,1.0,0,1,1.0,0,-0.63
True,1170298447,147,1,14,assessment,1,0,1.0,0,1,1.0,0,-0.63
