outcome,timestamp,time_elapsed,student_id,module_id,module_type,history_correct,history_wrong,exponential,wrong_streak,right_streak,average_outcome,average_time
True,1171836372,12,1,7,assessment,6,0,3.68928,0,6,1.0,253292.0,-0.63
True,1171836385,13,1,7,assessment,7,0,3.951424,0,7,1.0,211078.666667,-0.63
True,1171836394,9,1,7,assessment,8,0,4.1611392,0,8,1.0,180926.428571,-0.63
True,1171836405,11,1,7,assessment,9,0,4.32891136,0,9,1.0,158311.75,-0.63
True,1171836423,18,1,7,assessment,10,0,4.463129088,0,10,1.0,140722.777778,-0.63
True,1171836444,21,1,7,assessment,11,0,4.5705032704,0,11,1.0,126652.3,-0.63
True,1171836476,7,1,8,assessment,1,0,1.0,0,1,1.0,0,-0.63
False,1171836520,44,1,8,assessment,2,0,1.8,0,2,1.0,7.0,-0.63
True,1171836533,13,1,8,assessment,2,1,1.44,1,2,0.666666666667,25.5,-0.63
True,1171836559,26,1,8,assessment,3,1,2.152,1,2,0.75,21.3333333333,-0.63
True,1171836570,11,1,8,assessment,4,1,2.7216,1,2,0.8,22.5,-0.63
True,1171836481,7,1,9,assessment,1,0,1.0,0,1,1.0,0,-0.63
False,1171836528,47,1,9,assessment,2,0,1.8,0,2,1.0,7.0,-0.63
True,1171836535,7,1,9,assessment,2,1,1.44,1,2,0.666666666667,27.0,-0.63
True,1171836560,25,1,9,assessment,3,1,2.152,1,2,0.75,20.3333333333,-0.63
True,1171836571,11,1,9,assessment,4,1,2.7216,1,2,0.8,21.5,-0.63
True,1171836487,7,1,10,assessment,1,0,1.0,0,1,1.0,0,-0.63
True,1171836532,45,1,10,assessment,2,0,1.8,0,2,1.0,7.0,-0.63
True,1171836562,30,1,10,assessment,3,0,2.44,0,3,1.0,26.0,-0.63
True,1171836579,17,1,10,assessment,4,0,2.952,0,4,1.0,27.3333333333,-0.63
True,1171836502,16,1,11,assessment,1,0,1.0,0,1,1.0,0,-0.63
False,1171836542,40,1,11,assessment,2,0,1.8,0,2,1.0,16.0,-0.63
False,1171836552,10,1,11,assessment,2,1,1.44,1,2,0.666666666667,28.0,-0.63
True,1171836556,4,1,11,assessment,2,2,1.152,2,2,0.5,22.0,-0.63
True,1171836566,10,1,11,assessment,3,2,1.9216,2,2,0.6,17.5,-0.63
True,1171836576,10,1,11,assessment,4,2,2.53728,2,2,0.666666666667,16.0,-0.63
True,1171836500,1,1,12,assessment,0,1,0.0,1,0,0.0,0,-0.63
True,1171836516,16,1,12,assessment,1,1,1.0,1,1,0.5,1.0,-0.63
False,1171836545,29,1,12,assessment,2,1,1.8,1,2,0.666666666667,8.5,-0.63
True,1171836555,10,1,12,assessment,2,2,1.44,1,2,0.5,15.3333333333,-0.63
True,1171836565,10,1,12,assessment,3,2,2.152,1,2,0.6,14.0,-0.63
True,1171836573,8,1,12,assessment,4,2,2.7216,1,2,0.666666666667,13.2,-0.63
True,1171836514,7,1,13,assessment,1,0,1.0,0,1,1.0,0,-0.63
True,1171836546,32,1,13,assessment,2,0,1.8,0,2,1.0,7.0,-0.63
True,1171836568,22,1,13,assessment,3,0,2.44,0,3,1.0,19.5,-0.63
False,1171836520,8,1,14,assessment,1,0,1.0,0,1,1.0,0,-0.63
True,1171836530,10,1,14,assessment,1,1,0.8,1,1,0.5,8.0,-0.63
True,1171836548,18,1,14,assessment,2,1,1.64,1,1,0.666666666667,9.0,-0.63
True,1171836563,15,1,14,assessment,3,1,2.312,1,2,0.75,12.0,-0.63
True,1171836575,12,1,14,assessment,4,1,2.8496,1,3,0.8,12.75,-0.63
True,1171836602,10,1,15,assessment,1,0,1.0,0,1,1.0,0,-0.63
True,1171836634,32,1,15,assessment,2,0,1.8,0,2,1.0,10.0,-0.63
True,1171836653,19,1,15,assessment,3,0,2.44,0,3,1.0,21.0,-0.63
True,1171836687,34,1,15,assessment,4,0,2.952,0,4,1.0,20.3333333333,-0.63
True,1171836712,25,1,15,assessment,5,0,3.3616,0,5,1.0,23.75,-0.63
True,1171836604,9,1,16,assessment,1,0,1.0,0,1,1.0,0,-0.63
True,1171836640,36,1,16,assessment,2,0,1.8,0,2,1.0,9.0,-0.63
True,1171836661,21,1,16,assessment,3,0,2.44,0,3,1.0,22.5,-0.63
True,1171836691,30,1,16,assessment,4,0,2.952,0,4,1.0,22.0,-0.63
True,1171836716,25,1,16,assessment,5,0,3.3616,0,5,1.0,24.0,-0.63
True,1172040022,203306,1,16,assessment,6,0,3.68928,0,6,1.0,24.2,-0.63
True,1171836611,11,1,17,assessment,1,0,1.0,0,1,1.0,0,-0.63
True,1171836643,32,1,17,assessment,2,0,1.8,0,2,1.0,11.0,-0.63
False,1171836668,25,1,17,assessment,3,0,2.44,0,3,1.0,21.5,-0.63
True,1171836679,11,1,17,assessment,3,1,1.952,1,3,0.75,22.6666666667,-0.63
True,1171836700,21,1,17,assessment,4,1,2.5616,1,3,0.8,19.75,-0.63
True,1171836718,18,1,17,assessment,5,1,3.04928,1,3,0.833333333333,20.0,-0.63
True,1171836609,1,1,18,assessment,0,1,0.0,1,0,0.0,0,-0.63
True,1171836618,9,1,18,assessment,1,1,1.0,1,1,0.5,1.0,-0.63
False,1171836642,24,1,18,assessment,2,1,1.8,1,2,0.666666666667,5.0,-0.63
True,1171836646,4,1,18,assessment,2,2,1.44,1,2,0.5,11.3333333333,-0.63
False,1171836658,12,1,18,assessment,3,2,2.152,1,2,0.6,9.5,-0.63
False,1171836664,6,1,18,assessment,3,3,1.7216,1,2,0.5,10.0,-0.63
True,1171836666,2,1,18,assessment,3,4,1.37728,2,2,0.428571428571,9.33333333333,-0.63
True,1171836672,6,1,18,assessment,4,4,2.101824,2,2,0.5,8.28571428571,-0.63
False,1171836682,10,1,18,assessment,5,4,2.6814592,2,2,0.555555555556,8.0,-0.63
True,1171836685,3,1,18,assessment,5,5,2.14516736,2,2,0.5,8.22222222222,-0.63
True,1171836694,9,1,18,assessment,6,5,2.716133888,2,2,0.545454545455,7.7,-0.63
False,1171836703,9,1,18,assessment,7,5,3.1729071104,2,2,0.583333333333,7.81818181818,-0.63
True,1171836706,3,1,18,assessment,7,6,2.53832568832,2,2,0.538461538462,7.91666666667,-0.63
True,1171836715,9,1,18,assessment,8,6,3.03066055066,2,2,0.571428571429,7.53846153846,-0.63
True,1171836721,6,1,18,assessment,9,6,3.42452844052,2,2,0.6,7.64285714286,-0.63
True,1172040024,203303,1,18,assessment,10,6,3.73962275242,2,3,0.625,7.53333333333,-0.63
True,1172040026,2,1,18,assessment,11,6,3.99169820194,2,4,0.647058823529,12713.5,-0.63
True,1172040027,1,1,18,assessment,12,6,4.19335856155,2,5,0.666666666667,11965.7647059,-0.63
True,1171836625,8,1,19,assessment,1,0,1.0,0,1,1.0,0,-0.63
True,1171836649,24,1,19,assessment,2,0,1.8,0,2,1.0,8.0,-0.63
True,1171836677,28,1,19,assessment,3,0,2.44,0,3,1.0,16.0,-0.63
True,1171836705,28,1,19,assessment,4,0,2.952,0,4,1.0,20.0,-0.63
True,1171836726,21,1,19,assessment,5,0,3.3616,0,5,1.0,22.0,-0.63
False,1171836633,11,1,20,assessment,1,0,1.0,0,1,1.0,0,-0.63
True,1171836636,3,1,20,assessment,1,1,0.8,1,1,0.5,11.0,-0.63
True,1171836652,16,1,20,assessment,2,1,1.64,1,1,0.666666666667,7.0,-0.63
True,1171836670,18,1,20,assessment,3,1,2.312,1,2,0.75,10.0,-0.63
True,1171836689,19,1,20,assessment,4,1,2.8496,1,3,0.8,12.0,-0.63
True,1171836708,19,1,20,assessment,5,1,3.27968,1,4,0.833333333333,13.4,-0.63
True,1171836723,15,1,20,assessment,6,1,3.623744,1,5,0.857142857143,14.3333333333,-0.63
True,1171836638,9,1,21,assessment,1,0,1.0,0,1,1.0,0,-0.63
True,1171836655,17,1,21,assessment,2,0,1.8,0,2,1.0,9.0,-0.63
False,1171836684,29,1,21,assessment,3,0,2.44,0,3,1.0,13.0,-0.63
True,1171836696,12,1,21,assessment,3,1,1.952,1,3,0.75,18.3333333333,-0.63
True,1171836710,14,1,21,assessment,4,1,2.5616,1,3,0.8,16.75,-0.63
True,1172040059,15,1,22,assessment,1,0,1.0,0,1,1.0,0,-0.63
True,1172040088,29,1,22,assessment,2,0,1.8,0,2,1.0,15.0,-0.63
True,1172040100,12,1,22,assessment,3,0,2.44,0,3,1.0,22.0,-0.63
True,1172040120,20,1,22,assessment,4,0,2.952,0,4,1.0,18.6666666667,-0.63
True,1172040061,14,1,23,assessment,1,0,1.0,0,1,1.0,0,-0.63
True,1172040090,29,1,23,assessment,2,0,1.8,0,2,1.0,14.0,-0.63
False,1172040107,17,1,23,assessment,3,0,2.44,0,3,1.0,21.5,-0.63
True,1172040113,6,1,23,assessment,3,1,1.952,1,3,0.75,20.0,-0.63
True,1172040123,10,1,23,assessment,4,1,2.5616,1,3,0.8,16.5,-0.63
False,1172040055,3,1,24,assessment,0,1,0.0,1,0,0.0,0,-0.63
True,1172040057,2,1,24,assessment,0,2,0.0,2,0,0.0,3.0,-0.63
True,1172040063,6,1,24,assessment,1,2,1.0,2,1,0.333333333333,2.5,-0.63
True,1172040085,22,1,24,assessment,2,2,1.8,2,2,0.5,3.66666666667,-0.63
True,1172040094,9,1,24,assessment,3,2,2.44,2,3,0.6,8.25,-0.63
True,1172040103,9,1,24,assessment,4,2,2.952,2,4,0.666666666667,8.4,-0.63
True,1172040115,12,1,24,assessment,5,2,3.3616,2,5,0.714285714286,8.5,-0.63
False,1172040127,12,1,24,assessment,6,2,3.68928,2,6,0.75,9.0,-0.63
True,1172040072,6,1,25,assessment,1,0,1.0,0,1,1.0,0,-0.63
True,1172040092,20,1,25,assessment,2,0,1.8,0,2,1.0,6.0,-0.63
True,1172040108,16,1,25,assessment,3,0,2.44,0,3,1.0,13.0,-0.63
