module_id,outcome,timestamp,duration,timestep,module_type,user_id
6941cb39,FALSE,1144632973,12,1,assessment,daf5d3a7
cf5612f4,FALSE,1144632978,3,1,assessment,daf5d3a7
b9db4472,FALSE,1144632987,8,1,assessment,daf5d3a7
f9ee4bac,FALSE,1144632991,3,1,assessment,daf5d3a7
369ff72f,FALSE,1144633009,12,1,assessment,daf5d3a7
369ff72f,FALSE,1144633013,1,2,assessment,daf5d3a7
b9db4472,FALSE,1144633035,21,2,assessment,daf5d3a7
f9ee4bac,FALSE,1144633041,4,2,assessment,daf5d3a7
6941cb39,FALSE,1144633052,10,2,assessment,daf5d3a7
cf5612f4,FALSE,1144633055,1,2,assessment,daf5d3a7
4934b50c,FALSE,1144633062,7,1,assessment,daf5d3a7
ed6a9fb3,FALSE,1144633068,2,1,assessment,daf5d3a7
cf5612f4,FALSE,1144633075,1,3,assessment,daf5d3a7
369ff72f,FALSE,1144633109,14,3,assessment,daf5d3a7
6941cb39,FALSE,1144633113,3,3,assessment,daf5d3a7
f9ee4bac,FALSE,1144633114,1,3,assessment,daf5d3a7
b9db4472,FALSE,1144633117,2,3,assessment,daf5d3a7
4934b50c,FALSE,1144633125,5,2,assessment,daf5d3a7
d913fc81,FALSE,1144633247,8,1,assessment,daf5d3a7
4b605899,FALSE,1144633306,5,1,assessment,daf5d3a7
24eba6a7,FALSE,1144633329,5,1,assessment,daf5d3a7
1d226800,FALSE,1144633364,3,1,assessment,daf5d3a7
eb9a5c9e,FALSE,1144633390,4,1,assessment,daf5d3a7
68c49520,FALSE,1144633449,34,1,assessment,daf5d3a7
1d226800,FALSE,1144633459,6,2,assessment,daf5d3a7
4b605899,FALSE,1144633953,4,2,assessment,daf5d3a7
eb9a5c9e,FALSE,1144633958,3,2,assessment,daf5d3a7
d913fc81,FALSE,1144633975,5,2,assessment,daf5d3a7
24eba6a7,FALSE,1144634025,4,2,assessment,daf5d3a7
4934b50c,FALSE,1144634115,6,3,assessment,daf5d3a7
ed6a9fb3,FALSE,1144634122,3,2,assessment,daf5d3a7
cf5612f4,TRUE,1144634127,2,4,assessment,daf5d3a7
f9ee4bac,TRUE,1144634140,2,4,assessment,daf5d3a7
369ff72f,TRUE,1144634147,6,4,assessment,daf5d3a7
6941cb39,TRUE,1144634152,4,4,assessment,daf5d3a7
b9db4472,TRUE,1144634241,34,4,assessment,daf5d3a7
eb9a5c9e,FALSE,1144634276,5,3,assessment,daf5d3a7
68c49520,FALSE,1144634292,3,2,assessment,daf5d3a7
24eba6a7,FALSE,1144634324,4,3,assessment,daf5d3a7
1d226800,FALSE,1144634398,52,3,assessment,daf5d3a7
4934b50c,TRUE,1144634469,5,4,assessment,daf5d3a7
4b605899,TRUE,1144634477,5,3,assessment,daf5d3a7
ed6a9fb3,TRUE,1144634489,2,3,assessment,daf5d3a7
d913fc81,FALSE,1144634506,4,3,assessment,daf5d3a7
eb9a5c9e,FALSE,1144634515,6,4,assessment,daf5d3a7
24eba6a7,FALSE,1144634532,4,4,assessment,daf5d3a7
1d226800,FALSE,1144634538,4,4,assessment,daf5d3a7
68c49520,FALSE,1144634571,9,3,assessment,daf5d3a7
68c49520,TRUE,1144634624,2,4,assessment,daf5d3a7
1d226800,TRUE,1144634630,4,5,assessment,daf5d3a7
d913fc81,TRUE,1144634633,3,4,assessment,daf5d3a7
eb9a5c9e,TRUE,1144634637,3,5,assessment,daf5d3a7
24eba6a7,TRUE,1144634640,2,5,assessment,daf5d3a7
cf5612f4,TRUE,1144634655,7,5,assessment,daf5d3a7
369ff72f,TRUE,1144634741,27,5,assessment,daf5d3a7
ed6a9fb3,TRUE,1144634748,2,4,assessment,daf5d3a7
6941cb39,TRUE,1144635124,2,5,assessment,daf5d3a7
f9ee4bac,TRUE,1144635132,2,5,assessment,daf5d3a7
b9db4472,TRUE,1144635135,2,5,assessment,daf5d3a7
4b605899,FALSE,1144635167,1,4,assessment,daf5d3a7
eb9a5c9e,TRUE,1144635233,2,6,assessment,daf5d3a7
24eba6a7,TRUE,1144635235,2,6,assessment,daf5d3a7
68c49520,TRUE,1144635238,2,5,assessment,daf5d3a7
4b605899,TRUE,1144635336,8,5,assessment,daf5d3a7
4b605899,TRUE,1144635474,2,6,assessment,daf5d3a7
1d226800,TRUE,1144635480,5,6,assessment,daf5d3a7
4934b50c,TRUE,1144635510,1,5,assessment,daf5d3a7
d913fc81,TRUE,1144635544,5,5,assessment,daf5d3a7
369ff72f,TRUE,1144635547,3,6,assessment,daf5d3a7
ed6a9fb3,TRUE,1144635550,2,5,assessment,daf5d3a7
4934b50c,TRUE,1144698653,3,6,assessment,daf5d3a7
4b605899,TRUE,1144698676,4,7,assessment,daf5d3a7
eb9a5c9e,TRUE,1144698702,2,7,assessment,daf5d3a7
68c49520,FALSE,1144698710,3,6,assessment,daf5d3a7
6941cb39,TRUE,1144698812,2,6,assessment,daf5d3a7
f9ee4bac,TRUE,1144698817,2,6,assessment,daf5d3a7
b9db4472,TRUE,1144698820,2,6,assessment,daf5d3a7
d913fc81,TRUE,1144698893,5,6,assessment,daf5d3a7
cf5612f4,TRUE,1144698974,1,6,assessment,daf5d3a7
369ff72f,TRUE,1144698981,4,7,assessment,daf5d3a7
ed6a9fb3,TRUE,1144698985,2,6,assessment,daf5d3a7
24eba6a7,TRUE,1144699028,2,7,assessment,daf5d3a7
1d226800,TRUE,1144699033,2,7,assessment,daf5d3a7
6b003452,FALSE,1144783396,8,1,assessment,daf5d3a7
8468bd9b,FALSE,1144783416,15,1,assessment,daf5d3a7
0e7998b5,FALSE,1144783425,6,1,assessment,daf5d3a7
ba7f8353,FALSE,1144783431,5,1,assessment,daf5d3a7
05c618f4,FALSE,1144783440,6,1,assessment,daf5d3a7
9b007896,FALSE,1144783453,6,1,assessment,daf5d3a7
8d525318,FALSE,1144783458,3,1,assessment,daf5d3a7
ab50cacc,FALSE,1144783463,4,1,assessment,daf5d3a7
4.94E+11,FALSE,1144783469,4,1,assessment,daf5d3a7
9f6b339b,TRUE,1144783476,4,1,assessment,daf5d3a7
2c8fe61f,FALSE,1144783483,6,1,assessment,daf5d3a7
90c3e515,FALSE,1144783491,7,1,assessment,daf5d3a7
05c618f4,FALSE,1144783501,7,2,assessment,daf5d3a7
4.94E+11,TRUE,1144783506,2,2,assessment,daf5d3a7
2c8fe61f,TRUE,1144783512,4,2,assessment,daf5d3a7
8d525318,TRUE,1144783517,4,2,assessment,daf5d3a7
ab50cacc,TRUE,1144783521,3,2,assessment,daf5d3a7
6b003452,FALSE,1144783527,4,2,assessment,daf5d3a7
ba7f8353,TRUE,1144783531,3,2,assessment,daf5d3a7
9b007896,FALSE,1144783548,4,2,assessment,daf5d3a7
90c3e515,FALSE,1144783554,5,2,assessment,daf5d3a7
0e7998b5,FALSE,1144783566,4,2,assessment,daf5d3a7
8468bd9b,FALSE,1144783574,6,2,assessment,daf5d3a7
8468bd9b,FALSE,1144783581,3,3,assessment,daf5d3a7
05c618f4,FALSE,1144783888,12,3,assessment,daf5d3a7
90c3e515,FALSE,1144783896,5,3,assessment,daf5d3a7
0e7998b5,FALSE,1144783907,5,3,assessment,daf5d3a7
9b007896,TRUE,1144783919,9,3,assessment,daf5d3a7
6b003452,TRUE,1144783924,3,3,assessment,daf5d3a7
8468bd9b,TRUE,1144783944,16,4,assessment,daf5d3a7
0e7998b5,TRUE,1144783954,6,4,assessment,daf5d3a7
90c3e515,TRUE,1144783958,4,4,assessment,daf5d3a7
05c618f4,TRUE,1144783961,2,4,assessment,daf5d3a7
3e73f3a5,FALSE,1144784403,1,1,assessment,daf5d3a7
3e73f3a5,FALSE,1144784472,4,2,assessment,daf5d3a7
