outcome,timestamp,time_elapsed,student_id,module_id,module_type,history_seen,history_correct,exponential
False,1144156897,92,1,1,assessment,2,1,1.0
True,1144157058,161,1,1,assessment,3,1,0.8
True,1144157237,179,1,1,assessment,4,2,1.64
True,1144157620,383,1,1,assessment,5,3,2.312
False,1144156916,99,1,2,assessment,2,1,1.0
True,1144157071,155,1,2,assessment,3,1,0.8
False,1144157258,187,1,2,assessment,4,2,1.64
False,1144157575,317,1,2,assessment,5,2,1.312
False,1144156909,27,1,8,assessment,2,0,0.0
False,1144156940,31,1,8,assessment,3,0,0.0
True,1144157031,91,1,8,assessment,4,0,0.0
True,1144157050,19,1,8,assessment,5,1,1.0
True,1144157064,14,1,8,assessment,6,2,1.8
True,1144157075,11,1,8,assessment,7,3,2.44
True,1144157095,20,1,8,assessment,8,4,2.952
True,1144157130,35,1,8,assessment,9,5,3.3616
True,1144157178,48,1,8,assessment,10,6,3.68928
False,1144157227,49,1,8,assessment,11,7,3.951424
True,1144157250,23,1,8,assessment,12,7,3.1611392
True,1144157275,25,1,8,assessment,13,8,3.52891136
True,1144157298,23,1,8,assessment,14,9,3.823129088
True,1144157346,48,1,8,assessment,15,10,4.0585032704
True,1144157378,32,1,8,assessment,16,11,4.24680261632
True,1144157422,44,1,8,assessment,17,12,4.39744209306
True,1144157496,74,1,8,assessment,18,13,4.51795367444
True,1144157556,60,1,8,assessment,19,14,4.61436293956
True,1144157607,51,1,8,assessment,20,15,4.69149035164
False,1144157468,370,1,11,assessment,2,1,1.0
False,1144157462,322,1,14,assessment,2,1,1.0
True,1144157170,23,1,21,assessment,2,0,0.0
False,1144157218,48,1,21,assessment,3,1,1.0
True,1144157244,26,1,21,assessment,4,1,0.8
True,1144157281,37,1,21,assessment,5,2,1.64
False,1144157332,51,1,21,assessment,6,3,2.312
True,1144157367,35,1,21,assessment,7,3,1.8496
True,1144157410,43,1,21,assessment,8,4,2.47968
True,1144157492,82,1,21,assessment,9,5,2.983744
True,1144157562,70,1,21,assessment,10,6,3.3869952
True,1144157641,79,1,21,assessment,11,7,3.70959616
False,1144157446,134,1,23,assessment,2,0,0.0
False,1144157567,121,1,23,assessment,3,0,0.0
True,1144157652,85,1,23,assessment,4,0,0.0
False,1144157440,82,1,24,assessment,2,1,1.0
False,1144157547,107,1,24,assessment,3,1,0.8
False,1144157482,76,1,27,assessment,2,1,1.0
False,1144157591,109,1,27,assessment,3,1,0.8
True,1144157477,22,1,31,assessment,2,0,0.0
True,1144157515,38,1,31,assessment,3,1,1.0
False,1144157582,67,1,31,assessment,4,2,1.8
True,1144157630,48,1,31,assessment,5,2,1.44
False,1147694490,177,1,40,assessment,2,1,0.8
False,1147693886,79,1,41,assessment,2,1,1.0
True,1147694026,140,1,41,assessment,3,1,0.8
False,1147694187,161,1,41,assessment,4,2,1.64
False,1147694421,234,1,41,assessment,5,2,1.312
False,1147693899,81,1,42,assessment,2,1,1.0
True,1147694044,145,1,42,assessment,3,1,0.8
False,1147694214,170,1,42,assessment,4,2,1.64
False,1147694465,251,1,42,assessment,5,2,1.312
False,1147694509,188,1,43,assessment,2,1,0.8
True,1147694402,383,1,46,assessment,2,1,1.0
True,1147694237,94,1,49,assessment,2,0,0.0
True,1147694010,13,1,51,assessment,2,0,0.0
True,1147694038,28,1,51,assessment,3,1,1.0
