Row	Sample	Anon Student Id	Problem Hierarchy	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	Step Duration (sec)	Correct Step Duration (sec)	Error Step Duration (sec)	First Attempt	Incorrects	Hints	Corrects	Condition	KC (Default)	Opportunity (Default)	Predicted Error Rate (Default)	KC (Single-KC)	Opportunity (Single-KC)	Predicted Error Rate (Single-KC)	KC (Unique-step)	Opportunity (Unique-step)	Predicted Error Rate (Unique-step)
1	All Data	1_1	Unit 12	To_commit_suicide	1	1	1970-01-18 03:05:22	1970-01-18 03:05:22	1970-01-18 03:05:22	1970-01-18 03:05:22	.	.	.	correct	0	0	1	efc_1 (1_1)	To_commit_suicide	1	0.3862	Single-KC	1	0.5236	KC48	1	0.3862
2	All Data	1_1	Unit 12	Sun	1	1	1970-01-18 03:05:22	1970-01-18 03:05:22	1970-01-18 03:05:22	1970-01-18 03:05:22	0	0	.	correct	0	0	1	efc_1 (1_1)	Sun	1	0.3794	Single-KC	2	0.5236	KC1	1	0.3794
3	All Data	1_1	Unit 12	To_get_on_well	1	1	1970-01-18 03:05:22	1970-01-18 03:05:22	1970-01-18 03:05:22	1970-01-18 03:05:22	0	0	.	correct	0	0	1	efc_1 (1_1)	To_get_on_well	1	0.4912	Single-KC	3	0.5236	KC30	1	0.4912
4	All Data	1_1	Unit 12	To_get_on_well	2	1	1970-01-18 03:05:22	1970-01-18 03:05:22		1970-01-18 03:05:22	0	.	0	incorrect	1	0	0	efc_1 (1_1)	To_get_on_well	2	0.4912	Single-KC	4	0.5236	KC30	2	0.4912
5	All Data	1_1	Unit 12	Environment	1	1	1970-01-18 03:05:22	1970-01-18 03:05:23	1970-01-18 03:05:23	1970-01-18 03:05:23	0.25	0.25	.	correct	0	0	1	efc_1 (1_1)	Environment	1	0.5554	Single-KC	5	0.5236	KC52	1	0.5554
6	All Data	1_1	Unit 12	Environment	2	1	1970-01-18 03:05:22	1970-01-18 03:05:23	1970-01-18 03:05:23	1970-01-18 03:05:23	0.25	0.25	.	correct	0	0	1	efc_1 (1_1)	Environment	2	0.5554	Single-KC	6	0.5236	KC52	2	0.5554
7	All Data	1_1	Unit 12	Environment	3	1	1970-01-18 03:05:22	1970-01-18 03:05:23		1970-01-18 03:05:23	0.25	.	0.25	incorrect	1	0	0	efc_1 (1_1)	Environment	3	0.5554	Single-KC	7	0.5236	KC52	3	0.5554
8	All Data	1_1	Unit 12	Environment	4	1	1970-01-18 03:05:22	1970-01-18 03:05:23		1970-01-18 03:05:23	0.25	.	0.25	incorrect	1	0	0	efc_1 (1_1)	Environment	4	0.5554	Single-KC	8	0.5236	KC52	4	0.5554
9	All Data	1_1	Unit 12	Earth	1	1	1970-01-18 03:05:22	1970-01-18 03:05:23	1970-01-18 03:05:23	1970-01-18 03:05:23	0	0	.	correct	0	0	1	efc_1 (1_1)	Earth	1	0.3719	Single-KC	9	0.5236	KC36	1	0.3719
10	All Data	1_1	Unit 12	Earth	2	1	1970-01-18 03:05:22	1970-01-18 03:05:23		1970-01-18 03:05:23	0	.	0	incorrect	1	0	0	efc_1 (1_1)	Earth	2	0.3719	Single-KC	10	0.5236	KC36	2	0.3719
