Row	Sample	Anon Student Id	Problem Hierarchy	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	Step Duration (sec)	Correct Step Duration (sec)	Error Step Duration (sec)	First Attempt	Incorrects	Hints	Corrects	Condition	KC (Default)	Opportunity (Default)	Predicted Error Rate (Default)	KC (Single-KC)	Opportunity (Single-KC)	Predicted Error Rate (Single-KC)	KC (Unique-step)	Opportunity (Unique-step)	Predicted Error Rate (Unique-step)
22	Control	1_1	Unit 12	National_resource	2	1	1970-01-18 03:05:24	1970-01-18 03:05:24		1970-01-18 03:05:24	0	.	0	incorrect	1	0	0	flashcard_1 (3_1)	National_resource	2	0.6918	Single-KC	22	0.5236	KC8	2	0.6918
23	Control	1_1	Unit 12	Hard_rubbish	1	1	1970-01-18 03:05:24	1970-01-18 03:05:24	1970-01-18 03:05:24	1970-01-18 03:05:24	0	0	.	correct	0	0	1	flashcard_1 (3_1)	Hard_rubbish	1	0.5879	Single-KC	23	0.5236	KC34	1	0.5879
24	Control	1_1	Unit 12	Hard_rubbish	2	1	1970-01-18 03:05:24	1970-01-18 03:05:24		1970-01-18 03:05:24	0	.	0	incorrect	1	0	0	flashcard_1 (3_1)	Hard_rubbish	2	0.5879	Single-KC	24	0.5236	KC34	2	0.5879
25	Control	1_1	Unit 12	Disposable	1	1	1970-01-18 03:05:24	1970-01-18 03:05:24	1970-01-18 03:05:24	1970-01-18 03:05:24	0	0	.	correct	0	0	1	flashcard_1 (3_1)	Disposable	1	0.6427	Single-KC	25	0.5236	KC40	1	0.6427
26	Control	1_1	Unit 12	Disposable	2	1	1970-01-18 03:05:24	1970-01-18 03:05:24		1970-01-18 03:05:24	0	.	0	incorrect	1	0	0	flashcard_1 (3_1)	Disposable	2	0.6427	Single-KC	26	0.5236	KC40	2	0.6427
27	Control	1_1	Unit 12	Quarrel	1	1	1970-01-18 03:05:24	1970-01-18 03:05:24	1970-01-18 03:05:24	1970-01-18 03:05:24	0	0	.	correct	0	0	1	flashcard_1 (3_1)	Quarrel	1	0.6154	Single-KC	27	0.5236	KC12	1	0.6154
28	Control	1_1	Unit 12	Quarrel	2	1	1970-01-18 03:05:24	1970-01-18 03:05:24		1970-01-18 03:05:24	0	.	0	incorrect	1	0	0	flashcard_1 (3_1)	Quarrel	2	0.6154	Single-KC	28	0.5236	KC12	2	0.6154
29	Control	1_1	Unit 12	Stay_indoors	1	1	1970-01-18 03:05:24	1970-01-18 03:05:24	1970-01-18 03:05:24	1970-01-18 03:05:24	0	0	.	correct	0	0	1	flashcard_1 (3_1)	Stay_indoors	1	0.5014	Single-KC	29	0.5236	KC42	1	0.5014
30	Control	1_1	Unit 12	Stay_indoors	2	1	1970-01-18 03:05:24	1970-01-18 03:05:24		1970-01-18 03:05:24	0	.	0	incorrect	1	0	0	flashcard_1 (3_1)	Stay_indoors	2	0.5014	Single-KC	30	0.5236	KC42	2	0.5014
31	Control	1_1	Unit 12	To_not_get_on_well	1	1	1970-01-18 03:05:24	1970-01-18 03:05:24	1970-01-18 03:05:24	1970-01-18 03:05:24	0	0	.	correct	0	0	1	flashcard_1 (3_1)	To_not_get_on_well	1	0.7008	Single-KC	31	0.5236	KC51	1	0.7008
32	Control	1_1	Unit 12	To_not_get_on_well	2	1	1970-01-18 03:05:24	1970-01-18 03:05:24		1970-01-18 03:05:24	0	.	0	incorrect	1	0	0	flashcard_1 (3_1)	To_not_get_on_well	2	0.7008	Single-KC	32	0.5236	KC51	2	0.7008
